
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 15:15:57 2017

Changed value of parameter logfile to result/NEIS-20170608T1453/scenario_CO2-price-0010.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [3e-03, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.97s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.43s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74498165e+11 -2.71538744e+11  8.79e+02 6.66e+03  2.06e+07     5s
   1   2.95597984e+11 -9.41542590e+10  6.46e+02 1.38e+04  6.75e+06     5s
   2   2.88628990e+11 -6.53671985e+10  6.37e+02 6.79e+03  5.94e+06     6s
   3   1.92879571e+11 -9.02628060e+10  4.16e+02 2.19e+02  3.94e+06     6s
  90   1.04851689e+07  1.04836582e+07  1.84e-08 3.30e-09  2.02e-03    50s
  91   1.04850546e+07  1.04836848e+07  1.70e-08 4.03e-09  1.84e-03    51s
  92   1.04849840e+07  1.04836877e+07  1.61e-08 3.94e-09  1.74e-03    52s
  93   1.04849001e+07  1.04836967e+07  1.50e-08 3.61e-09  1.61e-03    52s
  94   1.04848388e+07  1.04837011e+07  1.41e-08 3.39e-09  1.53e-03    53s
  95   1.04847684e+07  1.04837064e+07  1.32e-08 3.20e-09  1.42e-03    54s
  96   1.04847311e+07  1.04837089e+07  1.27e-08 3.07e-09  1.37e-03    55s
  97   1.04846732e+07  1.04837134e+07  1.20e-08 2.91e-09  1.29e-03    56s
  98   1.04846060e+07  1.04837165e+07  1.11e-08 2.11e-10  1.19e-03    56s
  99   1.04845694e+07  1.04837207e+07  1.06e-08 1.60e-10  1.14e-03    57s
 100   1.04845418e+07  1.04837242e+07  1.02e-08 4.37e-10  1.10e-03    57s
 101   1.04845011e+07  1.04837285e+07  9.71e-09 7.47e-11  1.04e-03    58s
 102   1.04844731e+07  1.04837364e+07  9.37e-09 5.24e-10  9.87e-04    59s
 103   1.04844050e+07  1.04837445e+07  8.37e-09 8.60e-09  8.85e-04    59s
 104   1.04843565e+07  1.04837473e+07  7.72e-09 7.99e-09  8.17e-04    60s
 105   1.04843468e+07  1.04837484e+07  7.59e-09 7.80e-09  8.02e-04    61s
 106   1.04842796e+07  1.04837517e+07  6.71e-09 7.20e-09  7.08e-04    62s
 107   1.04841830e+07  1.04837584e+07  5.42e-09 6.20e-09  5.69e-04    63s
 108   1.04840617e+07  1.04837641e+07  5.21e-09 5.78e-08  3.99e-04    64s
 109   1.04839945e+07  1.04837720e+07  2.58e-08 1.10e-07  2.98e-04    65s
 110   1.04839699e+07  1.04837725e+07  6.40e-08 1.02e-07  2.65e-04    65s
 111   1.04839402e+07  1.04837739e+07  5.28e-06 6.64e-08  2.23e-04    66s
 112   1.04839145e+07  1.04837758e+07  4.92e-06 9.26e-08  1.86e-04    67s
 113   1.04838664e+07  1.04837777e+07  3.06e-06 1.10e-07  1.19e-04    68s
 114   1.04838442e+07  1.04837792e+07  3.48e-06 2.49e-07  8.71e-05    68s
 115   1.04838168e+07  1.04837811e+07  1.84e-06 8.85e-08  4.79e-05    69s
 116   1.04838168e+07  1.04837811e+07  2.77e-06 8.24e-08  4.79e-05    70s
 117   1.04838135e+07  1.04837816e+07  2.47e-06 6.33e-08  4.27e-05    70s
 118   1.04838090e+07  1.04837821e+07  2.09e-06 7.71e-10  3.60e-05    71s
 119   1.04838090e+07  1.04837821e+07  4.07e-06 6.55e-10  3.60e-05    72s
 120   1.04838089e+07  1.04837821e+07  4.05e-06 5.38e-10  3.59e-05    72s
 121   1.04838089e+07  1.04837821e+07  4.05e-06 6.40e-10  3.59e-05    73s
 122   1.04838089e+07  1.04837821e+07  4.05e-06 2.04e-10  3.59e-05    74s
 123   1.04838088e+07  1.04837821e+07  4.04e-06 4.51e-10  3.58e-05    75s
 124   1.04838088e+07  1.04837821e+07  4.04e-06 7.28e-10  3.58e-05    76s
 125   6.66376779e+11 -2.71538744e+11  2.34e+03 6.66e+03  5.40e+07    77s
 126   4.97968605e+11 -3.84508934e+11  1.56e+03 4.95e+03  1.88e+07    78s
 127   8.55140627e+10 -2.50230033e+11  3.07e+01 2.05e+01  7.38e+05    80s
 128   9.26817536e+09 -6.74025256e+10  1.53e+00 8.16e-04  1.13e+05    81s
 129   6.38754635e+08 -5.17008438e+09  6.52e-02 9.55e-05  7.91e+03    82s
 130   1.43469249e+08 -2.20810553e+08  1.26e-03 7.20e-06  4.89e+02    83s
 131   1.20555869e+08 -5.69221258e+07  9.79e-04 1.54e-06  2.38e+02    83s
 132   5.74504428e+07 -3.57349012e+07  3.56e-04 1.02e-06  1.25e+02    84s
