
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 13:17:32 2017

Changed value of parameter logfile to result/NEIS-20170608T1255/scenario_base.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.91s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.42s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
  90   1.00207873e+07  1.00168750e+07  1.97e-08 3.49e-10  5.24e-03    52s
  91   1.00206435e+07  1.00169661e+07  1.84e-08 1.04e-10  4.93e-03    53s
  92   1.00204607e+07  1.00170304e+07  1.66e-08 2.91e-10  4.60e-03    53s
  93   1.00204082e+07  1.00171065e+07  1.61e-08 6.98e-10  4.43e-03    54s
  94   1.00203330e+07  1.00172116e+07  1.54e-08 4.58e-10  4.18e-03    55s
  95   1.00202411e+07  1.00172659e+07  1.45e-08 9.46e-10  3.99e-03    55s
  96   1.00202237e+07  1.00172979e+07  1.43e-08 1.09e-09  3.92e-03    56s
  97   1.00201386e+07  1.00173615e+07  1.35e-08 1.77e-09  3.72e-03    56s
  98   1.00200693e+07  1.00174350e+07  1.28e-08 2.31e-09  3.53e-03    57s
  99   1.00199848e+07  1.00175159e+07  1.20e-08 2.15e-09  3.31e-03    57s
 100   1.00199496e+07  1.00175306e+07  1.17e-08 1.85e-09  3.24e-03    58s
 101   1.00198864e+07  1.00175767e+07  1.10e-08 1.29e-09  3.10e-03    59s
 102   1.00198213e+07  1.00176790e+07  1.04e-08 6.98e-10  2.87e-03    59s
 103   1.00197874e+07  1.00178164e+07  1.01e-08 2.11e-10  2.64e-03    59s
 104   1.00197385e+07  1.00178310e+07  9.61e-09 2.11e-10  2.56e-03    60s
 105   1.00196860e+07  1.00178647e+07  9.11e-09 4.95e-10  2.44e-03    60s
 106   1.00196525e+07  1.00179189e+07  8.79e-09 1.75e-10  2.32e-03    61s
 107   1.00195614e+07  1.00179993e+07  8.00e-09 9.02e-10  2.09e-03    62s
 108   1.00195345e+07  1.00180118e+07  7.75e-09 1.09e-10  2.04e-03    63s
 109   1.00194969e+07  1.00180478e+07  7.41e-09 5.82e-10  1.94e-03    63s
 110   1.00194191e+07  1.00180926e+07  6.67e-09 9.75e-10  1.78e-03    64s
 111   1.00193901e+07  1.00181292e+07  6.40e-09 1.73e-09  1.69e-03    64s
 112   1.00192768e+07  1.00181430e+07  5.33e-09 9.75e-10  1.52e-03    65s
 113   1.00191633e+07  1.00181859e+07  4.28e-09 1.16e-09  1.31e-03    66s
 114   1.00191370e+07  1.00182463e+07  4.03e-09 5.82e-10  1.19e-03    66s
 115   1.00191066e+07  1.00182633e+07  3.72e-09 6.62e-10  1.13e-03    67s
 116   1.00190349e+07  1.00183466e+07  3.12e-09 8.48e-09  9.23e-04    67s
 117   1.00189794e+07  1.00185037e+07  2.54e-09 9.31e-10  6.38e-04    68s
 118   1.00189654e+07  1.00185123e+07  2.39e-09 9.17e-10  6.07e-04    69s
 119   1.00189386e+07  1.00185598e+07  2.14e-09 7.35e-10  5.08e-04    70s
 120   1.00189008e+07  1.00185921e+07  1.79e-09 4.73e-10  4.14e-04    71s
 121   1.00188955e+07  1.00185969e+07  1.74e-09 3.71e-10  4.00e-04    72s
 122   1.00188871e+07  1.00186010e+07  1.66e-09 4.95e-10  3.84e-04    73s
 123   1.00188815e+07  1.00186034e+07  1.60e-09 6.18e-10  3.73e-04    73s
 124   1.00188717e+07  1.00186104e+07  1.51e-09 2.91e-10  3.50e-04    74s
 125   1.00188576e+07  1.00186191e+07  1.38e-09 6.40e-10  3.20e-04    75s
 126   1.00188545e+07  1.00186239e+07  1.35e-09 4.44e-10  3.09e-04    76s
 127   1.00188460e+07  1.00186263e+07  1.27e-09 3.64e-10  2.95e-04    77s
 128   1.00188339e+07  1.00186486e+07  1.16e-09 4.66e-10  2.48e-04    78s
 129   1.00188323e+07  1.00186492e+07  1.16e-09 2.91e-10  2.45e-04    79s
 130   1.00188314e+07  1.00186496e+07  1.17e-09 7.28e-10  2.44e-04    80s
 131   6.66378102e+11 -2.71537421e+11  2.34e+03 6.66e+03  5.40e+07    81s
 132   5.23331199e+11 -2.73807530e+11  1.89e+03 1.88e+04  2.49e+07    82s
 133   5.18121255e+11 -2.05530363e+11  1.89e+03 9.67e+03  1.44e+07    82s
 134   4.11296081e+11 -1.59937201e+11  1.45e+03 4.85e+02  1.29e+07    83s
 135   1.92837934e+10 -1.25286537e+11  1.80e+01 5.39e-04  3.40e+05    84s
 136   2.79143150e+09 -2.92554558e+10  2.12e+00 8.33e-06  5.31e+04    84s
 137   5.01386181e+08 -4.33009024e+09  2.47e-01 7.45e-06  6.97e+03    85s
 138   2.05927329e+08 -7.92136201e+08  5.61e-02 2.14e-06  1.37e+03    85s
 139   1.41557808e+08 -3.37399479e+08  3.01e-02 8.26e-07  6.51e+02    85s
 140   1.33154398e+08 -1.07418724e+08  2.38e-02 3.34e-07  3.26e+02    86s
 141   8.64540037e+07 -6.11954834e+07  1.43e-02 1.48e-07  1.99e+02    86s
 142   5.25166451e+07 -3.55932990e+07  6.21e-03 9.11e-08  1.19e+02    87s
 143   2.82070838e+07 -4.02224685e+06  1.69e-03 2.09e-08  4.33e+01    88s
 144   2.12653243e+07  8.37498306e+05  9.95e-04 1.69e-08  2.74e+01    88s
 145   1.72348571e+07  2.11102770e+06  6.42e-04 1.55e-08  2.03e+01    89s
 146   1.58617061e+07  6.30786344e+06  5.15e-04 9.79e-09  1.28e+01    89s
 147   1.51137100e+07  6.70638688e+06  4.47e-04 8.37e-09  1.13e+01    89s
 148   1.36185320e+07  7.93356994e+06  3.18e-04 4.58e-09  7.62e+00    90s
 149   1.33732461e+07  8.35468100e+06  2.96e-04 3.91e-09  6.73e+00    90s
 150   1.20950246e+07  8.86826147e+06  1.82e-04 2.48e-09  4.33e+00    91s
 151   1.19808339e+07  9.40522624e+06  1.71e-04 1.15e-09  3.45e+00    92s
 152   1.10576714e+07  9.48479068e+06  9.04e-05 1.03e-09  2.11e+00    92s
 153   1.08500408e+07  9.57554891e+06  7.25e-05 8.66e-10  1.71e+00    93s
 154   1.07022481e+07  9.67049561e+06  5.92e-05 7.27e-10  1.38e+00    93s
 155   1.05158436e+07  9.76925842e+06  4.25e-05 4.86e-10  1.00e+00    93s
 156   1.04248006e+07  9.84523791e+06  3.46e-05 3.58e-10  7.77e-01    94s
 157   1.03810364e+07  9.86861133e+06  3.07e-05 4.15e-10  6.87e-01    94s
 158   1.03100721e+07  9.89183003e+06  2.51e-05 2.01e-10  5.61e-01    95s
 159   1.02454193e+07  9.91947631e+06  1.97e-05 1.67e-10  4.37e-01    96s
 160   1.02239940e+07  9.94728920e+06  1.77e-05 7.57e-10  3.71e-01    96s
 161   1.02125356e+07  9.95092472e+06  1.67e-05 3.86e-10  3.51e-01    97s
 162   1.02045044e+07  9.95421126e+06  1.60e-05 9.02e-10  3.36e-01    97s
 163   1.01978224e+07  9.95561754e+06  1.54e-05 7.71e-10  3.25e-01    97s
 164   1.01583935e+07  9.96005650e+06  1.19e-05 1.48e-09  2.66e-01    98s
 165   1.01521868e+07  9.97056611e+06  1.14e-05 3.93e-09  2.44e-01    98s
