
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 14:33:59 2017

Changed value of parameter logfile to result/NEIS-20170608T1411/scenario_base.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-04, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 3.03s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.42s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74649451e+11 -2.71577061e+11  8.80e+02 6.66e+03  2.06e+07     5s
   1   2.95698891e+11 -9.43007449e+10  6.48e+02 1.38e+04  6.76e+06     5s
   2   2.88731972e+11 -6.51976768e+10  6.38e+02 6.80e+03  5.94e+06     6s
  92   1.12988308e+07  1.12987029e+07  2.04e-08 2.01e-08  1.71e-04    55s
  93   1.12987958e+07  1.12987077e+07  3.30e-07 4.37e-10  1.18e-04    56s
  94   1.12987709e+07  1.12987155e+07  2.12e-07 2.27e-07  7.42e-05    57s
  95   1.12987570e+07  1.12987160e+07  2.52e-07 1.08e-07  5.50e-05    57s
  96   1.12987371e+07  1.12987195e+07  1.22e-06 5.56e-07  2.36e-05    58s
  97   1.12987347e+07  1.12987197e+07  1.02e-06 5.05e-07  2.01e-05    59s
  98   1.12987343e+07  1.12987204e+07  9.91e-07 3.53e-07  1.86e-05    60s
  99   1.12987291e+07  1.12987215e+07  5.58e-07 9.12e-08  1.01e-05    60s
 100   1.12987291e+07  1.12987215e+07  1.62e-06 9.25e-08  1.01e-05    61s
 101   1.12987291e+07  1.12987215e+07  6.28e-06 9.21e-08  1.01e-05    62s
 102   1.12987291e+07  1.12987215e+07  6.28e-06 5.53e-10  1.01e-05    63s
 103   1.12987291e+07  1.12987215e+07  6.28e-06 1.31e-10  1.01e-05    63s
 104   1.12987291e+07  1.12987215e+07  6.46e-06 5.53e-10  1.01e-05    64s
 105   1.12987291e+07  1.12987215e+07  6.46e-06 5.38e-10  1.01e-05    65s
 106   1.12987291e+07  1.12987215e+07  6.46e-06 2.04e-10  1.01e-05    66s
 107   1.12987291e+07  1.12987215e+07  7.22e-06 8.15e-10  1.00e-05    67s
 108   1.12987291e+07  1.12987215e+07  7.22e-06 6.84e-10  1.00e-05    68s
 109   1.12987290e+07  1.12987215e+07  7.18e-06 7.57e-10  1.00e-05    69s

Barrier performed 109 iterations in 68.93 seconds
Sub-optimal termination - objective 1.12987291e+07

Crossover log...

  223442 DPushes remaining with DInf 0.0000000e+00                69s
  120421 DPushes remaining with DInf 0.0000000e+00                70s
   91128 DPushes remaining with DInf 0.0000000e+00                75s
   88962 DPushes remaining with DInf 0.0000000e+00                81s
   87879 DPushes remaining with DInf 0.0000000e+00                87s
   87157 DPushes remaining with DInf 0.0000000e+00                90s
   86074 DPushes remaining with DInf 0.0000000e+00                95s
   82321 DPushes remaining with DInf 0.0000000e+00               100s
   80150 DPushes remaining with DInf 0.0000000e+00               106s
   79067 DPushes remaining with DInf 0.0000000e+00               111s
   77984 DPushes remaining with DInf 0.0000000e+00               116s
   76901 DPushes remaining with DInf 0.0000000e+00               121s
   75818 DPushes remaining with DInf 0.0000000e+00               126s
   74735 DPushes remaining with DInf 0.0000000e+00               131s
   73652 DPushes remaining with DInf 0.0000000e+00               137s
   72568 DPushes remaining with DInf 0.0000000e+00               141s
   71483 DPushes remaining with DInf 0.0000000e+00               146s
   70398 DPushes remaining with DInf 0.0000000e+00               151s
   69314 DPushes remaining with DInf 0.0000000e+00               156s
   64374 DPushes remaining with DInf 0.0000000e+00               160s
   45783 DPushes remaining with DInf 0.0000000e+00               165s
   42418 DPushes remaining with DInf 0.0000000e+00               170s
   38064 DPushes remaining with DInf 0.0000000e+00               175s
   33721 DPushes remaining with DInf 0.0000000e+00               180s
   28649 DPushes remaining with DInf 0.0000000e+00               185s
   21356 DPushes remaining with DInf 0.0000000e+00               190s
       0 DPushes remaining with DInf 1.8654189e-09               194s

  129870 PPushes remaining with PInf 9.8371278e-03               194s
   14547 PPushes remaining with PInf 5.8125727e-02               195s
       0 PPushes remaining with PInf 2.0137439e-04               196s

  Push phase complete: Pinf 2.0137439e-04, Dinf 6.5136686e+02    197s

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  329954    1.1298722e+07   0.000000e+00   6.513669e+02    197s
  330285    1.1298722e+07   0.000000e+00   0.000000e+00    198s

Solved with barrier
Solved in 330285 iterations and 198.34 seconds
Optimal objective  1.129872200e+07
